2024/09/11 21:45:22 handlers.go:34: Received request to list VM instances
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: ntp1, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/us-central1-f
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: ntp2, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/us-central1-f
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: ops-ai, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/us-central1-f
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: prod-msp-elastic-master1, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/us-central1-f
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: prod-msp-elastic-master2, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/us-central1-f
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: prod-msp-elastic-master3, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/us-central1-f
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: prod-msp-hot-elastic1, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/us-central1-f
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: prod-msp-hot-elastic10, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/us-central1-f
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: prod-msp-hot-elastic11, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/us-central1-f
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: prod-msp-hot-elastic12, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/us-central1-f
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: prod-msp-hot-elastic2, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/us-central1-f
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: prod-msp-hot-elastic3, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/us-central1-f
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: prod-msp-hot-elastic4, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/us-central1-f
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: prod-msp-hot-elastic5, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/us-central1-f
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: prod-msp-hot-elastic6, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/us-central1-f
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: prod-msp-hot-elastic7, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/us-central1-f
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: prod-msp-hot-elastic8, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/us-central1-f
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: prod-msp-hot-elastic9, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/us-central1-f
